Suite,Method,Categories,Shape,Length,Count,Url,Mean,Error,StdDev,Ratio,Allocated,Source
DependencyBenchmarks,SafeOld,AsciiSafe,,256,,,214.168 ns,20.3349 ns,5.2809 ns,1.00,0 B,refinement/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,SafeNew,AsciiSafe,,256,,,16.984 ns,0.4884 ns,0.0756 ns,0.08,0 B,refinement/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,SafeOld,AsciiSafe,,4096,,,"3,275.519 ns",28.1041 ns,7.2985 ns,1.00,0 B,refinement/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,SafeNew,AsciiSafe,,4096,,,227.880 ns,35.3952 ns,9.1920 ns,0.07,0 B,refinement/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,ClassifyOld,Classify,,16,,,5.615 ns,0.2797 ns,0.0433 ns,1.00,0 B,refinement/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,ClassifyNew,Classify,,16,,,3.338 ns,0.1919 ns,0.0498 ns,0.59,0 B,refinement/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,ClassifyOld,Classify,,256,,,81.956 ns,3.2293 ns,0.8387 ns,1.00,0 B,refinement/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,ClassifyNew,Classify,,256,,,6.626 ns,0.3028 ns,0.0786 ns,0.08,0 B,refinement/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,ClassifyOld,Classify,,4096,,,153.557 ns,8.9857 ns,2.3335 ns,1.00,0 B,refinement/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,ClassifyNew,Classify,,4096,,,14.987 ns,0.2764 ns,0.0718 ns,0.10,0 B,refinement/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,BytesOld,AsciiBytes,,16,,,8.210 ns,0.0634 ns,0.0165 ns,1.00,0 B,confirmation/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,BytesNew,AsciiBytes,,16,,,4.208 ns,0.0777 ns,0.0202 ns,0.51,0 B,confirmation/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,BytesOld,AsciiBytes,,256,,,128.730 ns,3.3951 ns,0.8817 ns,1.00,0 B,confirmation/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,BytesNew,AsciiBytes,,256,,,8.925 ns,0.7263 ns,0.1886 ns,0.07,0 B,confirmation/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,BytesOld,AsciiBytes,,4096,,,"1,946.418 ns",134.1678 ns,34.8429 ns,1.00,0 B,confirmation/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,BytesNew,AsciiBytes,,4096,,,121.723 ns,2.9055 ns,0.4496 ns,0.06,0 B,confirmation/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,TrimmedOld,SplitTrimmed,,16,,,38.22 ns,3.061 ns,0.474 ns,1.00,216 B,isolated/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,TrimmedNew,SplitTrimmed,,16,,,33.33 ns,5.679 ns,1.475 ns,0.87,216 B,isolated/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,TrimmedOld,SplitTrimmed,,256,,,336.01 ns,7.056 ns,1.092 ns,1.00,1656 B,isolated/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,TrimmedNew,SplitTrimmed,,256,,,73.82 ns,26.201 ns,6.804 ns,0.22,1656 B,isolated/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,TrimmedOld,SplitTrimmed,,4096,,,"3,657.84 ns",229.681 ns,59.648 ns,1.00,24696 B,isolated/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,TrimmedNew,SplitTrimmed,,4096,,,843.82 ns,453.124 ns,117.675 ns,0.23,24696 B,isolated/results/DependencyBenchmarks-report.csv
